from;to;weight;relationship;year beginning;year end
stmc;chma;1;1;1968;1968
stpa;wiga;2;2;99;1969
stpa;CD;99;99;99;1969
suat;lika;1;2;1969;1970
suat;lika;1;3;1970;1971
teme;chma;1;1;1968;1968
teme;shta;1;1;1968;1968
teme;ropo;1;1;1968;1968
vama;chma;3;4;1968;99
vama;mabr;3;4;1968;99
vama;mabr;3;4;1968;99
vama;chma;99;4;1968;99
vihe;rohe;3;5;1948;1988
vibu;chma;1;1;1969;99
waev;meka;2;2;99;99
wich;ropo;1;1;1968;1969
wich;shta;1;1;1968;1969
wiga;papo;1;2;1967;99
wiga;stpa;2;2;99;99
wiga;CD;99;99;1967;1969
wima;kama;2;5;1934;99
wima;99;99;99;99;99
wofr;jase;3;2;1968;1969
wofr;ropo;3;2;1960;1969
wofr;shta;2;2;1968;1969
wofr;abfo;3;5;1967;1969
wofr;CD;99;99;1969;1969
brda;chma;3;2;99;99
chma;brda;3;2;99;99
chma;romo;2;1;1967;99
romo;chma;1;1;1967;99
mama;chma;1;1;1967;99
chma;mama;1;1;1967;99
pafi;pakr;1;1;1969;1971
pakr;pafi;1;1;1969;1971
chma;PK;99;99;1967;99
