id;name;sex;date of birth;date of death;type of death;power;relation to murder
abfo;Abigail Folger;2;11.08.1943;08.08.1969;3;1;1
afbu;"Afton ""Star"" Burton";2;01.01.1988;99;1;1;1
alro;Alan Rose;1;99;99;99;2;1
alsp;Alan Leroy Springer;1;99;99;99;99;99
anla;Anton LaVeys;1;11.04.1930;29.10.1997;2;2;1
bapa;Barbara Parkins;2;99;99;99;99;99
bebe;Bennet Berger;1;1926;10.11.2005;2;1;1
becr;"Bernard ""Lotsapoppa"" Crowe";1;99;99;99;99;1
biva;Bill Vance;1;99;99;99;99;3
brda;Bruce Davis;1;05.10.1942;99;1;3;3
brle;Bruce Lee;1;99;99;99;99;99
casm;Carol Smith;2;99;99;99;1;1
chju;Charles Manson Junior;1;01.01.1955;01.01.1993;4;1;1
chlu;Charles Luther Manson;1;1956;99;1;1;1
chma;Charles Manson;1;12.11.1934;19.11.2017;2;5;3
chol;Charles Older;1;29.09.1917;17.06.2007;2;99;1
chwa;"Charles ""Tex"" Watson";1;02.12.1945;99;1;3;3
cosc;Colonel Walker Henderson Scott Sr;1;99;99;99;99;99
dade;Danny DeCarlo;1;20.06.1944;99;99;99;99
dasm;David Smith (Dr.);1;1939;99;99;1;1
dema;Dean Martin;1;99;99;99;99;99
dewi;Dennis Wilson;2;04.12.1944;28.12.1983;4;1;1
dosh;"Donald ""Shorty"" Shea";1;18.09.1933;26.08.1969;3;3;1
edsa;Ed Sanders;1;17.08.1939;99;1;1;1
erde;Dr. Ernst Dernberg;1;99;99;99;2;1
frme;Dr. Frederick Meyers;1;99;99;99;2;1
frsi;Frank Sinatra;1;99;99;99;99;1
frst;Frank Struthers;1;99;99;99;99;99
gahi;Gary Allen Hinman;1;24.12.1934;31.07.1969;3;1;1
gefo;Gerald Ford;1;99;99;99;1;1
gesp;George Spahn;1;99;99;99;4;99
hebe;Henry Beatly;1;30.03.1937;99;1;1;1
ivka;Irving Kanarek;1;99;99;99;99;99
jafr;Jason Freeman;1;99;99;1;1;1
jase;Jay Sebring;1;10.10.1933;09.08.1969;3;3;1
joho;Dr. Joel Hochmann;1;99;99;99;1;1
jopu;Joel Pugh;1;07.06.1940;01.12.1969;4;1;1
kama;Kathleen Maddox;2;99;99;99;99;99
lela;Leno LaBianca;1;06.08.1925;10.08.1969;3;2;1
lest;"Leona Rae ""Candy"" Stevens";2;99;99;99;1;99
leva;Leslie Van Houten;2;23.08.1949;99;1;2;3
lika;Linda Kasabian;2;21.06.1949;99;1;2;1
lyfr;Lynette Fromme;2;22.10.1948;99;1;2;2
mabr;Mary Brunner;2;17.12.1943;99;1;2;1
maka;Dr. Marvin Katz;1;99;99;99;1;1
mama;Mary Anne McLean;2;99;99;99;1;1
mara;Martin Ransohoff;1;07.07.1927;13.12.2017;2;2;1
mifa;Mia Farrow;2;99;99;99;99;1
nisc;Nicolas Schreck;1;99;99;99;99;99
padu;Patty Duke;2;99;99;99;99;99
pafi;Paul Fitzgerald;1;99;99;99;1;1
